iter	Passed	Remaining
0	144	144119
1	146	72882
2	147	49111
3	148	37093
4	150	29879
5	151	25044
6	152	21574
7	152	18956
8	153	16913
9	154	15269
10	154	13929
11	155	12804
12	156	11856
13	156	11048
14	157	10342
15	158	9721
16	158	9182
17	159	8696
18	160	8264
19	160	7879
20	161	7528
21	162	7216
22	162	6920
23	163	6650
24	164	6403
25	164	6173
26	165	5969
27	166	5768
28	166	5588
29	167	5423
30	168	5262
31	169	5112
32	169	4977
33	170	4843
34	171	4718
35	171	4601
36	172	4490
37	173	4382
38	173	4281
39	174	4185
40	175	4094
41	175	4006
42	176	3925
43	176	3845
44	177	3772
45	178	3700
46	179	3630
47	179	3564
48	180	3500
49	181	3439
50	181	3380
51	182	3323
52	182	3268
53	183	3214
54	184	3167
55	184	3118
56	185	3071
57	186	3024
58	186	2979
59	187	2935
60	188	2894
61	188	2854
62	189	2815
63	189	2777
64	190	2740
65	191	2703
66	191	2668
67	191	2630
68	192	2597
69	193	2566
70	193	2535
71	194	2505
72	195	2477
73	195	2448
74	196	2420
75	196	2393
76	197	2367
77	198	2341
78	198	2317
79	199	2292
80	200	2271
81	200	2248
82	201	2225
83	202	2203
84	202	2180
85	203	2159
86	203	2136
87	204	2116
88	204	2097
89	205	2078
90	206	2059
91	206	2041
92	207	2022
93	208	2005
94	208	1987
95	209	1970
96	209	1953
97	210	1936
98	211	1920
99	211	1904
100	212	1889
101	212	1871
102	213	1856
103	213	1842
104	214	1828
105	215	1814
106	215	1800
107	216	1786
108	216	1773
109	217	1759
110	218	1746
111	218	1733
112	219	1720
113	219	1707
114	220	1695
115	220	1682
116	221	1671
117	222	1660
118	222	1648
119	223	1637
120	223	1626
121	224	1615
122	224	1602
123	225	1592
124	225	1581
125	226	1571
126	227	1562
127	227	1550
128	228	1541
129	228	1531
130	229	1522
131	230	1513
132	230	1504
133	231	1495
134	232	1486
135	232	1477
136	233	1469
137	233	1459
138	234	1451
139	234	1443
140	235	1435
141	236	1426
142	236	1418
143	237	1411
144	237	1403
145	238	1395
146	239	1387
147	239	1380
148	240	1373
149	241	1365
150	241	1358
151	242	1351
152	242	1344
153	243	1337
154	244	1330
155	244	1323
156	245	1316
157	245	1309
158	246	1303
159	247	1296
160	247	1290
161	248	1284
162	248	1277
163	249	1271
164	250	1265
165	250	1259
166	251	1253
167	251	1246
168	252	1240
169	252	1234
170	253	1228
171	254	1222
172	254	1217
173	255	1211
174	255	1206
175	256	1200
176	257	1195
177	257	1190
178	258	1184
179	258	1179
