iter	Passed	Remaining
0	137	137083
1	138	68864
2	138	46126
3	139	34737
4	140	27913
5	141	23382
6	141	20110
7	142	17660
8	143	15749
9	143	14231
10	144	12985
11	145	11955
12	146	11085
13	146	10331
14	147	9672
15	148	9111
16	148	8607
17	149	8155
18	150	7749
19	150	7384
20	151	7057
21	152	6770
22	153	6504
23	153	6257
24	154	6036
25	155	5823
26	156	5624
27	156	5441
28	157	5274
29	158	5117
30	158	4967
31	159	4830
32	160	4699
33	161	4574
34	161	4456
35	162	4346
36	163	4243
37	163	4149
38	164	4057
39	165	3968
40	166	3883
41	166	3805
42	167	3730
43	168	3656
44	169	3586
45	169	3516
46	170	3453
47	171	3392
48	171	3334
49	172	3277
50	173	3221
51	173	3169
52	174	3116
53	175	3066
54	175	3018
55	176	2972
56	177	2928
57	177	2885
58	178	2844
59	178	2803
60	179	2763
61	180	2726
62	180	2691
63	181	2656
64	182	2623
65	183	2590
66	183	2559
67	184	2527
68	185	2497
69	185	2467
70	186	2439
71	187	2410
72	187	2383
73	188	2357
74	189	2332
75	189	2308
76	190	2284
77	191	2259
78	191	2236
79	192	2212
80	193	2190
81	193	2168
82	194	2145
83	194	2124
84	195	2104
85	196	2086
86	197	2069
87	197	2051
88	198	2033
89	199	2014
90	199	1996
91	200	1979
92	201	1963
93	201	1946
94	202	1930
95	203	1914
96	203	1898
97	204	1883
98	205	1868
99	205	1853
100	206	1839
101	207	1825
102	207	1810
103	208	1796
104	209	1782
105	209	1769
106	210	1755
107	211	1743
108	211	1730
109	212	1718
110	213	1706
111	213	1693
112	214	1683
113	215	1671
114	215	1659
115	216	1648
116	216	1635
117	217	1624
118	217	1613
119	218	1602
120	219	1591
121	219	1580
122	220	1570
123	220	1561
124	221	1550
125	222	1541
126	222	1530
127	223	1521
128	223	1512
129	224	1503
130	225	1493
131	225	1485
132	226	1476
133	227	1467
134	227	1458
135	228	1450
136	228	1441
137	229	1433
138	230	1425
139	230	1417
140	231	1410
141	231	1401
142	232	1393
143	233	1386
144	233	1378
145	234	1371
146	235	1363
147	235	1356
148	236	1349
149	236	1342
